Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US16027,16027,"Canyon County, Idaho",5550,958,792,558,812,475,945,614,287,276,191,309,631,444,59,104,261,275,427,340,188,172,688,479,202,181,67,112,0,256,0,256,0,256
0500000US17031,17031,"Cook County, Illinois",182907,5502,16990,2261,11748,2980,13116,2161,15646,2855,13302,2506,13260,1788,11982,2124,13590,2852,8731,1718,16887,2360,20111,3266,16212,3000,5599,1439,3513,1222,1693,671,527,426
0500000US17043,17043,"DuPage County, Illinois",7176,1590,444,414,128,147,144,189,263,283,97,123,981,821,134,156,425,318,204,172,602,350,1630,790,613,514,785,431,367,342,359,314,0,266
0500000US17089,17089,"Kane County, Illinois",8163,1457,733,542,265,294,573,483,690,476,179,280,983,642,646,510,551,319,466,336,861,455,673,449,946,461,529,289,68,118,0,266,0,266
0500000US17097,17097,"Lake County, Illinois",8268,1314,184,198,212,219,252,173,427,229,921,474,696,468,360,344,235,187,607,470,836,419,1276,543,1137,460,721,338,214,222,103,123,87,101
0500000US17197,17197,"Will County, Illinois",11000,1313,558,477,206,268,0,266,545,407,440,383,1412,985,752,524,670,463,403,380,737,471,1884,881,1704,739,984,657,338,384,176,166,191,274
0500000US18089,18089,"Lake County, Indiana",10785,1521,1094,725,946,672,555,298,492,405,777,653,838,517,502,400,332,371,736,489,1312,781,1252,587,1328,650,383,310,92,112,146,185,0,264
0500000US18097,18097,"Marion County, Indiana",8426,1060,943,446,380,311,778,482,1284,562,1836,910,879,654,329,291,162,189,671,453,289,265,321,245,297,254,211,223,46,83,0,264,0,264
0500000US20173,20173,"Sedgwick County, Kansas",6582,1488,799,432,362,295,523,340,794,457,765,529,378,317,496,405,520,465,161,166,148,130,1073,932,303,210,69,121,146,241,45,78,0,240
0500000US20209,20209,"Wyandotte County, Kansas",4116,737,200,308,241,198,248,237,377,290,238,211,229,250,1063,602,40,67,144,125,359,264,173,180,738,400,0,240,0,240,66,122,0,240
0500000US24031,24031,"Montgomery County, Maryland",16151,2024,247,273,685,878,616,586,482,437,1010,662,1680,1015,422,337,509,366,1069,574,1809,691,1204,573,3629,1188,1241,537,587,435,724,492,237,221
0500000US24033,24033,"Prince George's County, Maryland",12150,2100,246,258,132,165,379,323,876,563,1246,1099,435,289,700,480,1056,716,393,292,1399,551,795,434,1546,820,1255,906,1190,865,502,462,0,282
0500000US25005,25005,"Bristol County, Massachusetts",6989,1366,1236,583,774,572,576,423,785,590,266,228,534,511,369,323,96,118,84,147,398,323,388,373,818,470,271,313,337,519,0,282,57,93
0500000US25009,25009,"Essex County, Massachusetts",19030,1861,4102,1503,2297,975,1106,572,1400,641,1963,909,1351,806,916,472,662,421,208,151,732,579,2028,1117,1437,1264,714,503,60,105,54,91,0,282
0500000US25013,25013,"Hampden County, Massachusetts",14861,1491,3357,1078,3195,951,1629,711,345,326,1223,618,1396,665,407,315,810,579,272,265,663,422,404,299,371,257,165,163,460,534,164,249,0,282
0500000US25017,25017,"Middlesex County, Massachusetts",13785,1930,1138,706,1145,911,1264,943,413,467,1267,698,377,346,521,350,797,647,402,405,1696,944,1723,648,1411,727,451,462,437,519,688,534,55,92
0500000US25025,25025,"Suffolk County, Massachusetts",15821,2502,2894,908,2351,1489,1120,610,1090,566,872,433,883,518,412,335,257,315,644,568,1308,957,1248,992,1908,1138,688,543,91,108,0,282,55,101
0500000US25027,25027,"Worcester County, Massachusetts",5543,1306,692,488,496,402,441,344,378,262,535,510,308,262,120,140,393,392,321,385,547,402,658,427,479,318,175,210,0,282,0,282,0,282
0500000US26081,26081,"Kent County, Michigan",7069,1399,484,429,945,952,378,278,584,518,1084,624,779,492,131,210,468,390,504,505,604,399,630,402,375,337,44,74,59,100,0,238,0,238
0500000US26163,26163,"Wayne County, Michigan",12306,1606,1286,548,837,737,695,436,1033,591,318,272,955,618,792,439,439,367,475,397,1804,935,2112,857,875,425,487,403,198,197,0,238,0,238
0500000US27053,27053,"Hennepin County, Minnesota",11224,1779,438,370,1161,675,980,658,782,443,1254,879,1962,1276,782,463,583,332,470,400,364,337,1459,879,360,252,387,298,86,105,0,209,156,180
0500000US29095,29095,"Jackson County, Missouri",5762,1224,793,501,507,430,420,394,559,384,283,255,474,246,579,360,328,327,191,235,467,318,806,576,232,231,47,80,0,256,76,124,0,256
0500000US31055,31055,"Douglas County, Nebraska",4905,936,446,317,179,284,340,300,274,211,693,399,658,425,228,294,292,274,247,210,704,449,255,249,424,227,36,62,37,63,45,74,47,78
0500000US32003,32003,"Clark County, Nevada",29886,2701,2252,1200,775,461,1256,597,2497,823,1963,683,2537,790,2111,750,1611,611,2255,714,2599,599,3849,911,4245,1064,971,477,297,205,513,271,155,270
0500000US32031,32031,"Washoe County, Nevada",7193,1472,554,475,1102,670,347,383,1447,723,230,256,589,502,149,240,251,231,1008,671,353,268,582,387,305,266,208,196,68,83,0,297,0,297
0500000US34001,34001,"Atlantic County, New Jersey",6660,936,1101,709,57,98,340,313,665,391,734,411,469,394,673,502,70,119,478,417,653,507,790,473,172,182,63,112,0,278,0,278,395,385
