Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US48201,48201,"Harris County, Texas",114187,6171,9177,1769,9924,1963,9411,2022,9463,1678,7113,1553,10726,2137,7083,1664,7290,1665,4984,1433,10109,1758,10489,1737,9759,2025,4597,1203,1507,651,2026,669,529,349
0500000US48209,48209,"Hays County, Texas",6580,1203,916,609,1227,729,251,214,692,463,381,396,258,298,742,568,322,323,219,322,533,316,554,468,259,207,187,301,0,294,39,67,0,294
0500000US48215,48215,"Hidalgo County, Texas",21184,2370,4948,1309,1602,645,1960,799,1687,630,1715,778,1238,503,566,396,1015,538,537,307,1681,687,1095,619,1191,522,1366,746,170,218,351,373,62,104
0500000US48303,48303,"Lubbock County, Texas",8563,1554,1166,628,630,490,501,325,1234,667,376,289,1116,625,646,437,126,200,414,335,318,318,910,617,625,453,402,286,99,166,0,294,0,294
0500000US48355,48355,"Nueces County, Texas",5046,1037,777,384,125,145,76,94,527,314,260,216,309,138,155,153,176,219,428,505,495,323,746,460,322,184,442,307,146,164,0,294,62,104
0500000US48439,48439,"Tarrant County, Texas",39364,3006,2599,904,1282,809,4637,1456,3825,1161,2471,995,3672,1106,3614,1198,3118,1047,2422,999,2985,977,3339,929,3089,1110,1220,674,557,380,395,266,139,163
0500000US48453,48453,"Travis County, Texas",29696,2856,3031,1043,3299,1154,2534,936,2048,966,2267,885,3120,1008,3078,1109,1564,775,1779,727,2093,830,1455,608,1849,786,1079,620,305,244,60,98,135,160
0500000US49035,49035,"Salt Lake County, Utah",11790,2017,785,479,848,633,547,384,557,401,1526,789,1248,694,213,183,768,414,570,376,729,483,1615,705,1500,735,176,170,522,614,186,182,0,267
0500000US51059,51059,"Fairfax County, Virginia",13568,1660,326,418,339,393,720,548,599,519,327,391,645,516,492,510,614,602,752,468,1317,687,2398,1057,2008,913,1147,648,486,445,629,470,769,571
0500000US51153,51153,"Prince William County, Virginia",7682,1518,518,517,0,287,179,289,491,428,382,354,575,483,717,581,347,481,365,316,375,422,948,649,429,333,574,422,997,727,580,485,205,255
0500000US53033,53033,"King County, Washington",15014,2099,792,480,838,573,918,643,1425,856,1403,733,1330,791,1663,895,334,290,842,512,1338,613,2096,852,956,499,483,280,373,387,103,126,120,142
0500000US53077,53077,"Yakima County, Washington",10803,1696,526,330,974,608,1953,988,1395,688,369,300,792,520,552,484,401,349,249,179,981,719,1282,735,598,471,731,475,0,277,0,277,0,277
0500000US55079,55079,"Milwaukee County, Wisconsin",11089,1453,936,433,915,493,1267,606,1462,713,1068,545,908,518,464,339,862,408,657,509,782,426,910,431,333,242,294,226,63,107,109,124,59,99
