GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US22097,22097,"St. Landry Parish, Louisiana",11437,1069,4365,999,1482,703,1353,642,535,322,666,389,410,232,426,231,441,360,359,244,297,280,350,245,342,305,100,133,186,184,125,145,0,278
0500000US22103,22103,"St. Tammany Parish, Louisiana",8756,999,1015,631,846,603,345,332,148,169,1139,755,655,499,451,389,301,211,637,507,635,582,1061,636,732,424,359,378,170,204,0,278,262,406
0500000US22105,22105,"Tangipahoa Parish, Louisiana",10181,864,3023,1166,1758,626,959,489,438,263,1087,643,720,486,393,315,422,488,102,128,390,267,463,588,106,135,97,121,192,329,18,31,13,22
0500000US24003,24003,"Anne Arundel County, Maryland",24550,1774,1330,556,698,351,1246,750,1485,674,1542,760,1315,559,1544,733,1589,625,1513,547,2060,898,2142,900,3133,924,2608,882,950,511,782,407,613,464
0500000US24005,24005,"Baltimore County, Maryland",72655,2023,4776,1337,3404,1538,2718,1019,4679,1417,5257,1385,5256,1692,4098,1189,7153,1988,3982,1579,6450,1478,8236,1826,8766,1583,4115,1113,2215,907,1249,537,301,205
0500000US24017,24017,"Charles County, Maryland",15853,1154,1513,892,434,307,364,380,960,972,869,721,961,595,667,473,601,429,472,421,962,643,1249,574,2943,910,1688,672,723,393,1154,545,293,198
0500000US24021,24021,"Frederick County, Maryland",5362,1051,477,376,419,350,103,151,292,251,117,103,147,177,229,211,199,212,209,206,430,423,45,73,481,305,541,450,739,483,72,123,862,924
0500000US24025,24025,"Harford County, Maryland",8595,1068,1448,657,405,273,298,242,570,372,237,210,257,249,260,265,147,142,601,359,344,219,703,363,1656,572,1113,413,306,232,250,224,0,282
0500000US24027,24027,"Howard County, Maryland",14669,1128,1083,654,294,349,293,362,155,184,1315,701,905,680,1017,522,201,198,655,362,409,301,1597,723,2311,927,1969,657,1108,464,976,561,381,222
0500000US24031,24031,"Montgomery County, Maryland",52651,2947,3034,1102,1081,559,1128,497,1290,582,2484,862,2208,738,4196,1209,3499,1010,2320,1142,4741,1314,7444,1727,8291,1520,4213,968,2706,843,1881,704,2135,808
0500000US24033,24033,"Prince George's County, Maryland",196966,3354,10008,2203,7445,1947,4344,1163,7799,1834,6653,1511,8623,1785,10343,2358,10799,1975,9478,2120,17525,2497,22868,3007,31948,2902,22394,2702,12464,2374,10356,1589,3919,935
0500000US24045,24045,"Wicomico County, Maryland",8110,734,662,484,504,432,459,384,857,566,814,488,382,308,736,558,464,442,239,320,1079,677,634,479,984,539,242,239,54,92,0,282,0,282
0500000US24510,24510,"Baltimore city, Maryland",148472,2759,28191,2987,15747,2353,11895,1881,13901,2147,11863,1941,8720,1724,7502,2135,7581,1824,6370,1313,10585,1939,11320,2149,7956,1358,4125,1260,1884,1066,550,351,282,309
0500000US25009,25009,"Essex County, Massachusetts",7854,961,981,519,166,158,642,509,752,517,481,364,1342,792,88,113,606,427,142,243,413,322,597,405,477,394,180,293,270,273,492,398,225,340
0500000US25013,25013,"Hampden County, Massachusetts",13659,1037,3330,855,1178,520,1016,520,1050,459,909,438,300,241,675,412,800,446,623,376,854,490,1347,589,1129,466,371,307,77,123,0,282,0,282
0500000US25017,25017,"Middlesex County, Massachusetts",20113,1487,2444,1047,1140,740,1794,860,1832,779,1329,778,1173,567,762,517,793,396,931,703,1270,687,2251,823,2088,820,1148,514,240,222,365,253,553,408
0500000US25021,25021,"Norfolk County, Massachusetts",9637,1102,850,597,0,282,394,360,502,484,341,499,143,175,423,341,562,400,70,115,364,506,1962,775,1509,702,990,547,726,529,469,293,332,331
0500000US25023,25023,"Plymouth County, Massachusetts",8937,929,697,320,273,238,404,305,333,365,659,540,270,231,256,171,448,351,529,329,1011,463,2051,735,1261,729,272,315,140,139,333,225,0,282
0500000US25025,25025,"Suffolk County, Massachusetts",52853,2765,9248,1727,4293,1569,3476,1270,4022,1256,3697,1512,3887,1282,1905,750,3912,1341,2810,1066,3063,977,4630,1183,4304,1252,1896,819,890,521,502,311,318,236
0500000US25027,25027,"Worcester County, Massachusetts",8746,1586,438,461,590,490,1872,1011,551,410,399,376,758,669,317,434,273,277,576,450,899,529,320,291,1292,916,232,226,57,104,172,195,0,282
0500000US26021,26021,"Berrien County, Michigan",9194,587,2652,753,1107,520,1080,548,657,438,1073,435,465,253,229,208,369,286,20,35,693,407,279,259,187,248,45,78,0,238,157,154,181,275
0500000US26025,26025,"Calhoun County, Michigan",5281,555,1064,573,667,453,538,281,387,208,470,329,400,332,84,135,334,253,48,81,343,267,172,142,303,241,267,194,162,232,0,238,42,70
0500000US26049,26049,"Genesee County, Michigan",33587,1165,8535,1409,1851,583,2893,828,2981,727,2649,865,1274,460,829,377,1763,880,1020,689,2701,919,2375,953,2212,683,912,423,504,344,961,822,127,122
0500000US26065,26065,"Ingham County, Michigan",10883,916,2385,762,1423,636,694,395,752,507,917,454,914,490,456,381,330,260,518,397,473,418,460,261,1138,602,183,254,49,82,133,150,58,102
