Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34013,34013,"Essex County, New Jersey",10528,1010,437,303,51,90,380,310,151,178,199,189,501,346,253,321,350,306,326,421,1170,598,1472,712,725,403,1152,438,1179,584,1153,414,1029,451
0500000US34017,34017,"Hudson County, New Jersey",20463,1538,1743,690,981,835,249,227,1083,548,866,429,480,388,697,481,1179,806,472,238,1534,646,1702,567,2797,726,2134,633,1654,615,1343,569,1549,557
0500000US34021,34021,"Mercer County, New Jersey",8555,550,440,378,0,278,526,484,272,287,388,448,454,378,292,337,286,227,155,172,138,130,658,372,862,473,1362,697,808,415,714,364,1200,502
0500000US34023,34023,"Middlesex County, New Jersey",42129,1570,1350,712,996,515,536,343,346,253,811,503,1459,647,1148,453,1210,497,1461,617,2889,1005,4447,1055,7585,1233,6829,1360,3583,783,4552,984,2927,668
0500000US34025,34025,"Monmouth County, New Jersey",8476,1291,244,204,146,187,289,289,236,271,73,119,767,569,68,85,636,468,126,202,55,73,499,359,838,558,915,451,1163,466,1165,529,1256,550
0500000US34027,34027,"Morris County, New Jersey",12094,750,217,212,209,220,118,193,58,97,109,199,378,315,204,245,640,407,193,164,738,476,1655,759,1679,574,1905,626,1239,533,1123,445,1629,458
0500000US34031,34031,"Passaic County, New Jersey",7274,1107,331,286,384,317,119,144,378,259,238,245,262,245,130,157,349,306,197,174,388,287,458,346,1407,967,815,403,637,380,623,374,558,309
0500000US34039,34039,"Union County, New Jersey",6409,558,73,97,89,100,193,202,228,208,76,88,226,214,454,320,269,187,35,60,361,251,537,275,1038,418,844,452,1093,608,266,176,627,293
0500000US35001,35001,"Bernalillo County, New Mexico",3920,622,255,194,318,340,286,366,273,198,140,114,37,62,356,309,151,126,353,322,348,290,273,306,546,272,230,197,73,88,179,206,102,127
0500000US36005,36005,"Bronx County, New York",13468,1011,1690,537,1142,397,1182,505,927,480,836,471,590,231,754,433,328,197,655,358,706,391,1664,634,1402,567,689,356,391,308,156,144,356,233
0500000US36029,36029,"Erie County, New York",5797,720,1070,494,191,225,470,346,349,320,389,409,299,239,136,208,433,373,291,282,468,360,700,510,98,120,273,226,260,239,38,60,332,229
0500000US36047,36047,"Kings County, New York",64683,2548,8082,1570,6156,1803,3351,947,4959,1130,3599,1038,4011,1452,2043,735,3295,1136,3304,1924,4388,1190,6138,1567,7020,1324,3925,946,1327,493,1545,606,1540,598
0500000US36055,36055,"Monroe County, New York",6649,741,721,454,1028,876,583,461,320,291,120,149,111,133,0,274,197,190,44,88,392,325,1241,685,604,339,552,552,301,329,183,172,252,176
0500000US36059,36059,"Nassau County, New York",22839,1334,650,518,427,369,616,408,382,348,334,226,172,199,605,416,333,285,430,282,892,393,2829,908,2864,878,4581,1564,2140,650,2615,706,2969,904
0500000US36061,36061,"New York County, New York",72557,2559,11253,1731,4910,1274,3301,813,3360,884,3675,1424,2234,713,2393,774,3065,832,2123,1091,3734,1073,6033,1453,6526,1472,6970,1343,1493,466,4910,1602,6577,1508
0500000US36081,36081,"Queens County, New York",141548,3422,11101,1578,7321,1707,6117,1262,8296,2222,6848,1416,8727,1850,6919,1424,6982,1666,6247,1249,13306,2120,17340,2399,18313,2057,10325,1495,5160,1228,5399,1384,3147,857
0500000US36085,36085,"Richmond County, New York",8964,758,293,262,259,247,426,558,110,140,258,212,1035,636,183,194,374,367,180,209,459,314,858,527,2036,762,1013,439,566,338,569,338,345,277
0500000US36087,36087,"Rockland County, New York",5172,619,384,284,0,274,263,245,0,274,220,226,157,171,147,138,33,57,186,164,389,234,376,287,440,288,981,477,583,318,495,271,518,316
0500000US36103,36103,"Suffolk County, New York",12447,1260,614,465,65,103,404,494,247,266,183,220,371,259,302,212,467,359,498,370,1077,543,1289,492,2263,741,1350,513,788,487,1609,737,920,417
0500000US36119,36119,"Westchester County, New York",15178,1269,834,474,876,911,210,273,187,155,470,329,505,362,281,318,131,128,448,373,818,461,1434,790,1675,636,1462,494,1590,630,1724,534,2533,589
0500000US37119,37119,"Mecklenburg County, North Carolina",9663,920,416,302,377,378,547,486,403,433,520,450,505,385,392,374,596,509,133,158,442,332,1523,565,1507,564,947,483,328,254,396,266,631,452
0500000US37183,37183,"Wake County, North Carolina",11322,969,1101,626,138,168,745,411,427,321,498,355,358,278,378,293,587,411,588,436,316,243,1127,493,1803,539,1205,473,902,490,604,305,545,338
0500000US39035,39035,"Cuyahoga County, Ohio",11233,867,1288,559,320,325,284,194,578,369,388,340,832,448,787,323,558,355,283,248,440,226,1385,596,1551,604,748,421,309,221,707,357,775,347
0500000US39049,39049,"Franklin County, Ohio",14922,1184,1455,573,713,445,972,590,527,363,964,500,646,544,529,370,650,365,1067,721,1026,518,1707,655,1921,646,1263,535,608,380,449,290,425,288
0500000US39061,39061,"Hamilton County, Ohio",5385,728,356,284,237,191,566,312,314,239,270,315,185,182,256,196,357,359,227,191,383,313,206,197,502,307,669,413,188,169,413,261,256,219
0500000US40109,40109,"Oklahoma County, Oklahoma",8157,861,1180,545,62,102,616,407,697,382,591,435,1509,740,115,141,502,410,330,225,551,321,732,347,641,390,228,186,74,120,163,191,166,203
0500000US41051,41051,"Multnomah County, Oregon",14135,1039,1737,615,851,475,439,266,1056,515,928,437,411,277,821,456,687,375,804,409,1483,552,1444,507,1573,521,810,383,321,318,470,247,300,225
0500000US41067,41067,"Washington County, Oregon",12700,1141,520,276,759,558,595,472,246,243,343,265,985,442,457,373,539,351,980,649,1489,619,1160,569,1630,619,1975,751,608,324,347,293,67,114
