,Unnamed: 0,Place of Destination,City,State,Students,Year,Lat,Lng,County_Name,County
138,138,Ohio State University - Main Campus,Columbus,Ohio,"6,478",2013,39.9611755,-82.9987942,Franklin  County,"Franklin  County, Ohio"
139,139,Indiana University - Bloomington,Bloomington,Indiana,"6,547",2013,39.165325,-86.5263857,Monroe  County,"Monroe  County, Indiana"
140,140,University of Minnesota - Twin Cities,Minneapolis,Minnesota,"6,178",2013,44.977753,-93.2650108,Hennepin  County,"Hennepin  County, Minnesota"
141,141,SUNY University at Buffalo,Buffalo,New York,"5,804",2013,42.8864468,-78.8783689,Erie  County,"Erie  County, New York"
142,142,University of California - Berkeley,Berkeley,California,"5,632",2013,37.8718992,-122.2585399,Alameda  County,"Alameda  County, California"
143,143,University of Texas - Dallas,Richardson,Texas,"5,193",2013,32.9483335,-96.7298519,Dallas  County,"Dallas  County, Texas"
144,144,University of Florida,Gainesville,Florida,"5,961",2013,29.6516344,-82.3248262,Alachua  County,"Alachua  County, Florida"
145,145,University of Pennsylvania,Philadelphia,Pennsylvania,"5,751",2013,39.9525839,-75.1652215,Philadelphia  County,"Philadelphia  County, Pennsylvania"
146,146,University of Wisconsin - Madison,Madison,Wisconsin,"5,291",2013,43.0730517,-89.4012302,Dane  County,"Dane  County, Wisconsin"
147,147,University of Texas - Austin,Austin,Texas,"5,481",2013,30.267153,-97.7430608,Travis  County,"Travis  County, Texas"
148,148,Texas A&M University,College Station,Texas,"5,149",2013,30.627977,-96.3344068,Brazos  County,"Brazos  County, Texas"
149,149,Carnegie Mellon University,Pittsburgh,Pennsylvania,"4,744",2013,40.4406248,-79.9958864,Allegheny  County,"Allegheny  County, Pennsylvania"
